"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Accessibility","0","0","1","0","0"
"Automation reporting portal","Report UI evidence","Report portal coverage","0","0","10","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional UI Tests","Authentication Form","0","0","3","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Performance Budget","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","PDF Library","0","0","1","0","0"
"DTCC Public Website Automation","REST API Security Tests","REST API Security","0","0","3","0","0"
"DTCC Public Website Automation","Mock UI Coverage","Public Website UI","0","0","4","0","0"
"DTCC.com Public Website UI Coverage","UI Page Template Validation","Public Page Coverage","0","0","10","0","0"
"DTCC Additional Backend API Database and Report UI Coverage","Backend API Coverage","API Contract and Security","0","0","8","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Settlement Data","0","0","3","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Global Trade Repository","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Important Notices","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Quality Gates","Release Readiness","0","0","2","0","0"
"DTCC Public Website Automation","Order Lifecycle Tests","Order Lifecycle UI","0","0","4","0","0"
"Backend data validation","SQL and reporting view checks","Database coverage","0","0","10","0","0"
"DTCC Public Website Automation","Security Tests","Security Validation","0","0","5","0","0"
"","","","0","0","4","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Market Status","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Settlement Orders","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Intentional Failures","Database Defect","0","0","0","1","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Reconciliation","0","0","1","0","0"
"DTCC Public Website Automation","Report Quality Gates","Global Attachments","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Contract Compatibility","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Auditability","0","0","1","0","0"
"DTCC Additional Backend API Database and Report UI Coverage","DTCC Website Area Coverage","Primary Website Areas","0","0","10","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Products and Services","0","0","1","0","0"
"DTCC Additional Backend API Database and Report UI Coverage","Database and Backend Validation","SQL Evidence","0","0","7","0","0"
"DTCC Backend API Coverage","REST API Contract Validation","API Contract Coverage","0","0","10","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Client Center","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Client Center API","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Intentional Failures","UI Defect","0","0","0","1","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Aggregation Queries","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional UI Tests","Order Conversion","0","0","2","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Order API","0","0","2","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Input Validation","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API Security","Authorization","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Clearing Eligibility","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Schema Validation","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Data Quality","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Data Privacy","0","0","1","0","0"
"DTCC SDET Automation Framework","Allure Report UI Demonstration","","0","0","1","1","0"
"DTCC Public Website SDET Portfolio Coverage","Additional UI Tests","Accessibility","0","0","2","0","0"
"DTCC Public Website Automation","Intentional Failure Examples","Intentional Failure Demonstrations","0","0","0","2","0"
"DTCC Public Website SDET Portfolio Coverage","Additional UI Tests","Cart Guardrails","0","0","2","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Reference Data","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Failure Persistence","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Reference Data","0","0","1","0","0"
"DTCC Public Website Automation","Public-Safe Website Metadata","Public Website UI","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Legal and Regulatory","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Intentional Failures","API Defect","0","0","0","1","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Visual Smoke","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Data Integrity","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional UI Tests","Page Identity","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Service Health","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Query Performance","0","0","1","0","0"
"DTCC Public Website Automation","Report Quality Gates","Quality Gates","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Performance Smoke","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Financial Precision","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API Security","Payload Validation","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Parameterized Queries","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","Home Page","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional Database Tests","Transaction Control","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Active Views","0","0","1","0","0"
"DTCC Public Website Automation","Report Quality Gates","Global Errors","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Public Notices","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Audit Trail","0","0","1","0","0"
"DTCC Public Website Automation","REST API Tests","REST API","0","0","2","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Rate Limiting","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API","Important Notices API","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Database Validation","Data Integrity","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","API Governance","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","API Security","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","UI Public Website","News","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","Additional REST API Tests","Auditability","0","0","1","0","0"
"DTCC Public Website SDET Portfolio Coverage","REST API Security","Input Validation","0","0","1","0","0"
