"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 02:25:22 UTC 2026","Thu Jun 04 02:25:22 UTC 2026","3","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","databaseValidatesPositiveSettlementAmounts","Database validates positive settlement amounts",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","uiProductsTemplate","UI - Products and Services template",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","apiContractCoverageIsDocumented","API suite validates public-safe backend contract evidence","Adds API endpoint evidence to Allure Suites, Packages, Behaviors, and Graphs views."
"passed","Thu Jun 04 02:25:21 UTC 2026","Thu Jun 04 02:25:21 UTC 2026","3","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","databaseParameterizedLookupFindsTransactionReference","Database parameterized lookup finds transaction reference",""
"passed","Thu Jun 04 02:25:18 UTC 2026","Thu Jun 04 02:25:18 UTC 2026","24","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiResponseIncludesRateLimitHeader","API response includes rate-limit header",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","uiVisualSmoke","UI - Visual smoke",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","apiNoticeSearch","API - Notice search",""
"passed","Thu Jun 04 02:25:29 UTC 2026","Thu Jun 04 02:25:29 UTC 2026","560","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.ui.SeleniumOrderLifecycleTest","com.dtcc.automation.ui.SeleniumOrderLifecycleTest","userCanCompleteFullOrderLifecycleWithSelenium","Selenium validates login, catalogue selection, cart, checkout, submit, and confirmation",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","apiClientDocument","API - Client document lookup",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","dbActiveView","DB - Active settlement view",""
